Institution,State,"2019 (billions USD)[8]","2018 (billions USD)[8]","2017 (billions USD)[19]","2016 (billions USD)9]","2015 (billions USD)[10]","2014 (billions USD)[11]","2013 (billions USD)[12]","2012 (billions USD)13]","2011 (billions USD)[14]","2010 (billions USD)[15]","2009 (billions USD)[16]","2008 (billions USD)17]","2007 (billions USD)[18]"
Amherst College,MA,2.473,2.378,2.248,2.031,2.194,2.149,1.823,1.641,1.642,1.386,1.306,1.705,1.662
Baylor University,TX,1.340,1.313,1.230,1.144,1.168,1.154,1.061,0.964,1.004,0.872,0.880,1.060,1.018
Baylor College of Medicine,TX,1.301,1.272,1.166,1.064,1.095,1.021,0.873,0.795,0.838,0.799,0.731,1.091,1.278
Berea College,KY,1.219,1.198,1.150,1.051,1.101,1.137,1.012,0.943,0.979,0.847,0.791,1.023,1.102
Boston College,MA,2.523,2.478,2.317,2.064,2.220,2.131,1.809,1.646,1.726,1.480,1.341,1.631,1.670
Boston University,MA,2.304,2.198,1.957,1.655,1.644,1.616,1.369,1.104,1.160,0.992,0.892,1.145,1.101
Berry College,GA,1.059,,,,,,,,,,,,
Bowdoin College,ME,1.744,1.628,1.456,1.340,1.393,1.216,1.039,0.902,0.904,0.754,0.688,0.831,0.828
Brandeis University,MA,1.074,1.046,,,,,,,,,,,
Brown University,RI,3.977,3.604,3.245,2.964,3.073,3.000,2.669,2.460,2.497,2.155,2.017,2.747,2.781
California Institute of Technology,CA,2.975,2.879,2.607,2.107,2.199,2.094,1.849,1.747,1.772,1.545,1.398,1.892,1.860
Carnegie Mellon University,PA,2.543,2.386,2.154,1.709,1.739,1.600,1.371,0.987,1.017,0.815,0.754,1.067,1.116
Case Western Reserve University,OH,1.867,1.843,1.799,1.663,1.776,1.759,1.678,1.600,1.703,1.462,1.402,1.766,1.841
College of the Holy Cross,MA,,1.081
Columbia University,NY,10.951,10.869,9.997,9.041,9.639,9.223,8.197,7.654,7.790,6.517,5.893,7.147,7.150
Cornell University,NY,7.328,7.230,6.758,5.758,6.038,6.312,5.272,4.947,5.059,4.379,3.966,5.385,5.425
Dartmouth College,NH,5.731,5.494,4.956,4.674,4.663,4.468,3.733,3.486,3.413,2.998,2.825,3.660,3.760
Duke University,NC,8.600,8.525,7.911,6.840,7.297,7.037,6.040,5.555,5.747,4.824,4.441,6.124,5.910
Emory University,GA,7.872,7.292,6.905,6.402,6.684,6.681,5.816,5.461,5.400,4.694,4.328,5.473,5.562
George Washington University,DC,1.779,1.799,1.729,1.570,1.616,1.577,1.375,1.306,1.331,1.144,1.011,1.256,1.147
Georgetown University,DC,1.822,1.770,1.662,1.484,1.529,1.461,1.286,1.142,1.160,1.010,0.895,1.059,1.059
Grinnell College,IA,2.070,1.992,1.871,1.649,1.788,1.830,1.553,1.384,1.500,1.265,1.076,1.472,1.718
Harvard University,MA,39.428,38.303,36.021,34.542,36.449,35.883,32.334,30.435,31.728,27.557,25.662,36.556,34.635
Johns Hopkins University,MD,6.276,4.325,3.845,3.381,3.413,3.452,2.987,2.593,2.598,2.220,1.977,2.525,2.800
Liberty University,VA,1.588,1.433,1.291,,,,,,,,,,
Lehigh University,PA,1.412,1.353,1.278,1.163,1.213,1.216,1.103,1.036,1.077,0.940,0.886,1.127,1.086
Loma Linda University,CA,1.077,1.015,,,,,,,,,,,
Massachusetts Institute of Technology,MA,17.569,16.529,14.968,13.182,13.475,12.425,11.005,10.150,9.713,8.317,7.982,10.069,9.980
Middlebury College,VT,1.124,1.124,1.074,1.001,1.101,1.082,0.973,0.880,0.908,0.783,0.700,0.885,0.936
New York University,NY,4.346,4.266,3.991,3.488,3.576,3.424,2.949,2.755,2.827,2.370,2.094,2.475,2.162
Northeastern University,MA,1.055,1.015,,,,,,,,,,,
Northwestern University,IL,11.092,11.088,10.437,9.648,10.193,9.778,7.883,7.119,7.183,5.945,5.445,7.244,6.503
Pomona College,CA,2.325,2.274,2.167,1.985,2.099,2.101,1.823,1.680,1.700,1.459,1.334,1.794,1.761
Princeton University,NJ,26.116,25.917,23.812,22.153,22.723,20.996,18.200,16.954,17.110,14.391,12.614,16.349,15.787
Rice University,TX,6.481,6.278,5.814,5.324,5.557,5.528,4.836,4.419,4.451,4.100,3.613,4.610,4.670
Rockefeller University,NY,2.293,2.194,2.049,1.927,1.987,1.986,1.772,1.662,1.746,1.561,1.528,2.021,2.144
Saint Louis University,MO,1.253,1.223,1.147,1.053,1.093,1.077,0.956,0.853,0.880,0.708,0.646,0.880,0.959
Santa Clara University,CA,1.020,,,,,,,,,,,,
Smith College,MA,1.913,1.875,1.767,1.627,1.782,1.756,1.557,1.410,1.430,1.244,1.096,1.366,1.361
Southern Methodist University,TX,1.664,1.633,1.515,1.384,1.505,1.466,1.268,1.177,1.197,1.069,1.035,1.368,1.328
Stanford University,CA,27.700,26.465,24.785,22.398,22.223,21.446,18.668,17.036,16.503,13.851,12.619,17.200,17.165
Swarthmore College,PA,2.132,2.116,1.956,1.747,1.846,1.877,1.634,1.499,1.508,1.249,1.129,1.413,1.441
Syracuse University,NY,1.393,1.338,1.259,1.157,1.166,1.183,1.121,0.9401,0.9137,0.8492,0.6756,1.000,1.086
Texas Christian University,TX,1.709,1.628,1.521,1.436,1.514,1.443,1.256,1.180,1.192,1.048,0.975,1.260,1.187
Trinity University (Texas),TX,1.280,1.292,1.194,1.085,1.185,1.180,1.005,0.908,0.963,0.855,0.851,1.034,0.991
Tufts University,MA,1.868,1.846,1.739,1.563,1.593,1.590,1.440,1.351,1.404,1.214,1.103,1.446,1.452
Tulane University,LA,1.430,1.384,1.288,1.171,1.220,1.184,1.047,0.960,1.014,0.888,0.807,1.035,1.009
University of Chicago,IL,8.264,7.928,7.524,7.001,7.550,7.546,6.668,6.571,6.575,5.543,5.578,6.632,6.204
University of Miami,FL,0.997,1.024,,,,,,,,,,,
University of Notre Dame,IN,11.268,10.728,9.352,8.374,8.567,8.040,6.856,6.330,6.260,5.235,4.795,6.226,5.977
University of Pennsylvania,PA,14.650,13.777,12.213,10.715,10.134,9.582,7.741,6.755,6.582,5.669,5.171,6.233,6.635
